scenario,category,passes,repeats,pass_rate,fail_sample
json-ticket,json,3,3,1.0,
json-invoice,json,1,3,0.333,"{""total_cents"": 925, ""currency"": ""USD"", ""line_items"": [{""name"": ""coffee"", ""cents"": 350}, {""name"": ""coffee"", ""cents"": 350}, {""name"": ""bagel"", ""cents"": 225}]}"
json-nested,json,3,3,1.0,
tool-plan,tool,3,3,1.0,
tool-choice,tool,1,3,0.333,"[""calculator"", {""expression"": ""2840*0.175""}]"
tool-multi,tool,2,3,0.667,""": {""city"": ""Tokyo"", ""checkin"": ""2026-09-10"", ""nights"": 3}},   {""notify"": {""message"": ""Travel from Delhi to Tokyo on 2026-09-10, hotel booked for 3 nights.""}} ]"
exact-arith,exact,3,3,1.0,
exact-sort,exact,3,3,1.0,
exact-capital,exact,3,3,1.0,
exact-datemath,exact,3,3,1.0,
exact-hex,exact,3,3,1.0,
exact-regex,exact,3,3,1.0,
needle-4000,needle,3,3,1.0,
needle-16000,needle,3,3,1.0,
